file,onset,offset,word,orig_utt_type,orig_present,new_utt_type,new_present
17_06,4715350,4716350,cat,q,n,d,n
17_06,4836340,4837900,dresser,q,y,q,y
17_06,4836340,4837900,foot,q,y,q,y
17_06,4850490,4851530,milk,d,n,d,n
17_06,4912130,4913130,bottle,q,y,q,y
17_06,4920320,4921480,fingers,d,y,d,y
17_06,5808200,5809200,fingers,d,y,d,y
17_06,5815410,5816930,teeth,d,y,d,n
17_06,6009600,6012230,milk,d,n,d,n
17_06,6028960,6030470,stairs,d,y,d,y
17_06,6272610,6274190,probiotics,n,y,q,n
17_06,6394600,6396100,tag,q,y,q,y
17_06,6432010,6432940,foot,d,y,d,y
17_06,6446930,6449390,spoon,n,y,n,y
17_06,6450760,6451530,spoon,n,y,n,y
17_06,6453540,6453620,spoon,n,y,n,y
17_06,6457920,6458940,milk,d,y,d,y
17_06,6472860,6475130,milk,d,y,d,y
17_06,6475130,6476020,cooler,d,y,d,y
17_06,6505160,6506160,smoothie,d,y,d,y
17_06,6534610,6535650,salad,d,y,d,n
17_06,6534610,6535650,fork,d,y,d,y
17_06,6543060,6543860,spoon,d,y,d,y
17_06,6545480,6546550,oatmeal,d,y,d,n
17_06,6547420,6548420,spoon,q,n,q,y
17_06,6577510,6578820,blender,d,n,d,n
17_06,6583460,6584590,door,d,n,d,n
17_06,6603740,6605300,keys,q,n,q,n
17_06,6606970,6607970,coat,d,n,d,n
17_06,6608940,6610280,coat,d,n,d,n
17_06,6612880,6614670,spoon,i,y,d,y
17_06,6618420,6619420,blender,d,n,d,n
17_06,6637180,6639800,blender,n,y,d,y
17_06,6637180,6639800,top,n,y,d,y
17_06,6637180,6639800,top,q,y,d,y
17_06,6670400,6674940,smoothie,q,n,q,n
17_06,6674940,6676200,ice,n,y,n,n
17_06,6676200,6677580,ice,d,y,d,n
17_06,6681370,6682230,ice,s,y,s,y
17_06,6682230,6683610,ice,s,y,s,y
19_06,35843160,35844380,eye,d,y,d,y
19_06,35843160,35844380,hair,d,n,d,y
19_06,35933250,35934270,wipe,d,y,d,y
19_06,35947670,35949240,piggy+bank,q,y,q,y
19_06,35950440,35953220,bank,d,y,d,y
19_06,35950440,35953220,piggy+bank,d,y,d,y
19_06,36000990,36001990,bank,d,y,d,y
19_06,36110670,36111870,rice+krispies,d,n,d,y
19_06,36111870,36116180,dress,d,y,d,y
19_06,36126080,36127380,dress,d,y,d,y
19_06,36127380,36128200,clothes,d,y,d,y
19_06,36128200,36131580,dress,d,y,d,y
19_06,36132580,36133580,dress,d,n,d,y
19_06,36243300,36247130,clothes,d,y,d,y
19_06,36243300,36247130,dresses,d,y,d,y
19_06,36369570,36372880,ladybug,q,y,q,y
19_06,36373890,36375260,costume,d,y,d,y
19_06,36376600,36378450,ladybug,q,n,d,y
19_06,36376600,36378450,skirt,q,n,d,y
19_06,36407600,36409700,money,d,n,d,n
19_06,36430590,36433410,money,d,y,d,y
19_06,36454310,36456190,hair,d,n,d,n
19_06,36475840,36479340,hair,d,n,d,n
19_06,36480150,36482640,dresses,d,n,d,y
19_06,36503860,36504020,clothes,q,y,q,y
19_06,36535740,36537120,pants,d,n,d,y
19_06,36561250,36565810,horses,d,n,d,n
19_06,36662970,36668240,cup,d,n,d,n
19_06,36662970,36668240,pie+pie,d,n,d,n
19_06,36669560,36670960,mouth,d,n,d,n
19_06,36669560,36670960,cup,d,n,d,n
19_06,36692770,36695120,kitty+litter,d,n,d,n
19_06,36699540,36704620,kitty+litter,d,n,d,n
19_06,36715260,36718680,fingers,i,y,i,y
19_06,36758110,36759410,Susan+jane+window+pane,q,y,q,y
19_06,36762840,36765310,baby+doll,q,y,q,y
19_06,36768920,36769950,baby+doll,d,y,d,y
19_06,36771980,36773650,rag+doll,q,n,q,n
19_06,36809780,36810970,Raggedy+ruth,d,y,d,y
19_06,36887900,36889790,bottom,d,y,d,n
19_06,36893000,36895690,bag,d,n,d,n
19_06,36926940,36928140,Raggedy+ruth,n,y,d,y
19_06,36945130,36946150,dolly,r,y,n,n
19_06,36946750,36951750,window,d,n,n,n
19_06,36946750,36951750,stars,d,n,n,n
19_06,36946750,36951750,toe,r,y,n,n
19_06,36946750,36951750,heel,d,y,n,n
19_06,36951750,36952760,toe,d,y,n,n
19_06,36951750,36952760,heel,d,y,n,n
19_06,36952760,36954160,toe,d,y,n,n
19_06,36952760,36954160,heel,d,y,n,n
19_06,36959520,36962600,baby,n,y,n,n
19_06,36963220,36964340,baby+doll,n,y,n,n
19_06,36965250,36966250,baby,n,y,n,n
19_06,36974980,36977570,baby+doll,d,y,d,y
19_06,36978570,36979720,clothes,d,y,d,y
19_06,37054720,37057970,sand,d,n,d,n
19_06,37076940,37077820,baggy,d,n,d,n
19_06,37083370,37087010,hands,i,y,d,y
19_06,37130180,37130780,booty,s,n,s,n
19_06,37133060,37135150,booty,s,n,s,n
19_06,37156090,37157460,bed,d,n,d,n
19_06,37158690,37161800,rattles,q,n,q,n
19_06,37162820,37164570,rattle,d,n,d,n
19_06,37166200,37166800,rattle,d,n,d,n
19_06,37166800,37167910,tic+tacs,d,n,d,n
19_06,37167910,37168500,tape,d,n,o,o
19_06,37207190,37208190,hannies,i,y,i,n
19_06,37264020,37265380,door,q,n,q,n
19_06,37298670,37302680,door,d,n,d,n
19_06,37298670,37302680,baggies,q,n,n,n
19_06,37303480,37305160,eye,d,n,o,o
19_06,37315790,37317440,cat+litter,d,n,d,n
19_06,37333500,37335090,socks,q,n,q,n
19_06,37336090,37338730,bag,d,n,q,n
19_06,37336090,37338730,counter,q,n,q,n
19_06,37336090,37338730,socks,q,n,q,n
19_06,37407660,37409060,curtains,q,n,q,n
19_06,37412500,37414570,curtains,d,n,d,n
19_06,37451950,37453150,curtains,d,n,d,n
19_06,37453150,37455590,window,d,n,o,o
19_06,37507060,37508950,milk,d,y,d,n
19_06,37516950,37518890,peas,d,n,d,n
19_06,37663900,37664730,cats,d,n,n,n
19_06,38127160,38128610,fingers,d,y,d,n
19_06,38222380,38223490,hands,d,y,d,n
19_06,38225640,38226240,fingers,d,y,q,n
19_06,38228700,38229980,fist,q,y,d,y
19_06,38229980,38230670,mouth,q,y,d,y
19_06,38266410,38268180,hair,q,y,q,y
19_06,38281820,38285040,hair,d,y,i,y
19_06,38316110,38316930,cats,q,n,q,n
19_06,38318490,38319640,cats,d,n,q,n
19_06,38418240,38419050,yogurt,d,n,d,n
19_06,38419050,38420500,yogurt,q,n,q,n
19_06,38427250,38429720,yogurt,d,n,d,n
19_06,38537600,38538940,plates,d,n,d,n
19_06,38543830,38544880,mail,d,y,d,y
19_06,38546970,38548010,envelopes,d,y,d,y
19_06,38640340,38645890,book,q,y,q,y
19_06,38645890,38647210,mouse,n,y,n,n
19_06,38645890,38647210,fish,n,y,n,n
19_06,38648030,38649480,sheep,n,y,n,n
19_06,38648030,38649480,butterfly,n,y,n,n
19_06,38650280,38651280,piggy,n,y,n,n
19_06,39253680,39254750,book,q,y,q,y
19_06,39653970,39654990,mouth,d,y,d,y
19_06,39815150,39815860,diaper,q,n,q,n
19_06,39819380,39821430,diaper,q,n,q,n
35_06,39806920,39807840,tummy,n,y,s,y
35_06,39806920,39807840,tummy,n,y,s,y
35_06,39806920,39807840,tummy,n,y,s,y
35_06,39806920,39807840,tummy,d,y,s,y
35_06,39806920,39807840,arms,d,y,s,y
35_06,39806920,39807840,arms,d,y,s,y
35_06,39806920,39807840,legs,d,y,s,y
35_06,39806920,39807840,legs,d,y,s,y
35_06,39842210,39843240,kangaroo,r,n,r,y
35_06,39858370,39859940,book,i,y,d,y
35_06,39956490,39958230,snail,r,y,r,y
35_06,40008670,40009670,turtle,q,n,q,y
35_06,40065020,40066890,eyes,r,y,r,y
35_06,40067950,40069070,eyes,r,y,r,y
35_06,40094160,40096750,nose,r,y,r,y
35_06,40119680,40120820,ears,r,y,r,y
35_06,40121860,40122860,ears,r,y,r,y
35_06,40128630,40129730,ears,r,y,r,y
35_06,40132870,40133880,ears,r,y,r,y
35_06,40161290,40162290,legs,r,y,d,y
35_06,40163060,40164360,legs,r,y,r,y
35_06,40165180,40166520,legs,r,y,r,y
35_06,40167300,40168490,legs,r,y,r,y
35_06,40169270,40170370,pants,r,y,r,y
35_06,40171970,40172970,legs,r,y,r,y
35_06,40171970,40172970,shoe,r,y,r,y
35_06,40173690,40174760,legs,q,y,r,y
35_06,40175590,40177500,legs,r,y,r,y
35_06,40186460,40187500,toes,r,y,r,y
35_06,40189490,40190490,toes,r,y,r,y
35_06,40191550,40192790,toes,r,y,r,y
35_06,40199430,40200880,toes,r,y,r,y
35_06,40212460,40213590,baby,r,y,d,y
35_06,40466440,40467440,monkey,q,y,q,y
35_06,40470120,40471120,monkey,q,y,q,y
35_06,40474100,40475470,froggy,d,y,d,y
35_06,40476300,40477320,piggies,q,y,q,y
35_06,40480320,40481370,froggy,n,y,n,y
35_06,40633340,40635310,mouth,d,n,d,n
35_06,40767170,40770810,diaper,d,n,d,y
35_06,40771970,40773010,vest,d,n,d,y
35_06,40775170,40776170,book,q,y,q,y
23_06,12812550,12814430,dog,n,n,n,y
23_06,13126890,13126970,hair,i,y,i,y
23_06,13192660,13193660,play+pen,d,n,d,y
23_06,13277810,13278920,castle,d,n,q,n
23_06,13278920,13280670,castle,d,n,q,n
23_06,13291790,13292790,castle,d,y,d,y
23_06,13293730,13294700,castle,n,y,n,y
23_06,13341260,13347170,apple+cider,d,n,d,n
23_06,13455020,13460140,hands,i,n,d,n
23_06,13472370,13473370,drink,q,n,q,n
23_06,13831040,13832040,van,d,n,d,n
23_06,13831040,13832040,scooter,d,n,d,n
23_06,13834430,13848560,mac+and+cheese,d,n,d,n
23_06,13834430,13848560,van,i,n,d,n
23_06,14020920,14022030,driveway,i,n,i,n
23_06,14026460,14027170,road,d,n,d,n
23_06,14265460,14266460,food,d,n,d,y
23_06,14273470,14275280,fork,n,n,n,y
23_06,14406190,14407260,shirt,d,n,d,n
23_06,14406190,14407260,shirt,d,n,d,n
23_06,14411880,14412910,shirt,d,n,d,n
23_06,14414760,14420230,sandwich,d,n,d,n
23_06,14420230,14421230,macaroni+and+cheese,d,n,d,n
23_06,14434620,14436410,shoes,d,n,d,n
23_06,14443400,14446910,shirt,d,n,d,n
23_06,14446910,14447910,pants,d,n,n,n
23_06,14446910,14447910,shirt,d,n,n,n
23_06,14447910,14449510,coat,d,n,d,n
23_06,14449510,14450510,coat,d,n,d,n
23_06,14511560,14512560,food,d,n,i,y
23_06,14670170,14671960,peanut+butter+and+sugar,d,n,d,n
23_06,14673300,14674500,sugar,d,n,d,n
23_06,14675300,14676300,bugs,d,n,d,n
23_06,14677100,14678230,peanut+butter+and+sugar,n,n,n,n
23_06,14760850,14761870,socks,n,n,n,n
23_06,14762770,14766410,shirt,n,n,n,n
23_06,14768320,14769900,shoes,d,n,d,n
23_06,14769900,14771620,socks,d,n,d,n
23_06,14817410,14818600,baby,n,n,n,n
23_06,14832970,14834530,poo+poo,n,n,n,n
23_06,14836000,14836800,toilet,n,n,d,n
23_06,14873970,14875160,baby+tiger,d,n,d,n
23_06,14876700,14878000,baby+tiger,d,n,d,n
23_06,14892970,14893630,macaroni,d,n,d,n
23_06,14910560,14911720,macaroni,n,n,n,n
23_06,15114150,15115190,shirt,q,n,q,n
23_06,15174900,15178040,shoes,d,n,d,n
23_06,15185680,15186950,van,d,n,d,n
23_06,15186950,15188120,driveway,d,n,d,n
23_06,15213140,15214880,car,d,n,d,n
23_06,15755130,15756190,stairs,d,n,q,n
23_06,15845930,15848170,diaper,d,n,d,y
23_06,15862990,15863990,diaper,d,n,d,y
23_06,15866320,15868440,bike,q,n,q,n
23_06,15870660,15873760,bike,d,n,d,n
23_06,15870660,15873760,tools,d,n,d,n
23_06,15870660,15873760,tools,d,n,d,n
23_06,15876760,15878530,bike,q,n,q,n
23_06,15879130,15880870,tools,d,n,d,n
23_06,15890350,15893230,bag,d,n,d,y
23_06,15895420,15897680,tools,i,n,d,y
23_06,15898780,15900320,bag,d,n,q,n
26_06,23619800,23621030,hair,d,y,d,y
26_06,23661050,23661570,hair,d,y,d,y
26_06,23716950,23718530,tongue,q,y,q,y
26_06,23821540,23822890,hair,d,n,d,n
26_06,23829500,23830990,babies,d,n,d,n
26_06,23854180,23855980,jumper,d,n,d,n
26_06,23855980,23862370,pic,i,n,i,n
26_06,23872660,23874700,vest,d,n,d,n
26_06,23877060,23878280,mall,d,n,d,n
26_06,23894470,23896190,bottles,d,n,d,n
26_06,23899870,23901030,food,d,n,d,n
26_06,23971850,23974910,hospital,d,n,d,n
26_06,24317630,24320010,dress,d,n,d,n
26_06,24404470,24406070,tummy,d,y,d,n
26_06,33819060,33820710,lawn,q,n,q,n
26_06,33831020,33831280,fanny,q,n,q,n
26_06,33836760,33837760,battery,q,n,q,n
26_06,33853610,33855360,mirror,q,y,q,y
26_06,33883160,33884160,boogs,i,n,s,y
26_06,33886250,33887570,boogs,d,y,d,y
26_06,33907480,33908280,diapes,q,n,q,n
26_06,33914330,33915750,fuzzy,d,y,d,y
26_06,33916690,33918750,fuzzy,d,y,d,y
26_06,33919820,33921040,fuzzy+wuzzy,n,y,d,y
26_06,33919820,33921040,fuzzy,n,y,d,y
26_06,34170460,34172430,gator,d,y,d,y
26_06,34179320,34179450,lawn,d,y,d,y
26_06,34182870,34185620,bumblebee,d,y,d,y
26_06,34198810,34200110,bottle,d,n,d,n
26_06,34419220,34420020,toe,n,y,n,n
26_06,34421950,34422960,arm,i,y,d,y
26_06,34422960,34423760,guitar,i,y,d,y
26_06,34553470,34555230,guitar,q,n,q,y
26_06,34673150,34675680,nose,d,y,d,n
26_06,34673150,34675680,formula,d,n,d,y
26_06,34918260,34919320,belly,d,y,d,y
26_06,36156910,36157910,juice,d,n,d,n
26_06,36159340,36159730,juice,d,n,d,n
26_06,36163880,36165190,tv,d,n,d,n
26_06,36166200,36167000,tv,n,n,d,n
26_06,36198650,36199490,tv,d,n,d,n
26_06,37188430,37191500,tongs,d,y,d,y
20_06,1729940,1732090,leg,n,y,n,y
20_06,1732970,1734700,leg,n,y,n,y
20_06,1739430,1740430,binky,q,n,q,n
20_06,1747220,1749230,shirt,d,y,d,y
20_06,1762900,1764100,owls,d,y,d,y
20_06,1764100,1765240,owls,d,y,q,y
20_06,1835180,1836780,bottle,d,n,d,n
20_06,1838810,1840000,bottle,d,n,d,n
20_06,1841250,1842680,binky,q,y,q,y
20_06,1844340,1845550,bottle,d,n,d,n
20_06,2027960,2029370,bib,d,y,d,n
20_06,2470820,2471890,bottle,i,y,i,y
